selected_count,selected_rate,precision,recall,f1,operating_point,threshold_value,strategy,target
26729,0.6682417060426511,0.5801937969995137,0.9815189873417721,0.7292906017070705,score threshold,0.055,raw cri probability,y_cri_high
26729,0.6682417060426511,0.5801937969995137,0.9815189873417721,0.7292906017070705,score threshold,0.056,raw cri probability,y_cri_high
26729,0.6682417060426511,0.5801937969995137,0.9815189873417721,0.7292906017070705,score threshold,0.057,raw cri probability,y_cri_high
26729,0.6682417060426511,0.5801937969995137,0.9815189873417721,0.7292906017070705,score threshold,0.058,raw cri probability,y_cri_high
26729,0.6682417060426511,0.5801937969995137,0.9815189873417721,0.7292906017070705,score threshold,0.059000000000000004,raw cri probability,y_cri_high
26729,0.6682417060426511,0.5801937969995137,0.9815189873417721,0.7292906017070705,score threshold,0.060000000000000005,raw cri probability,y_cri_high
26446,0.661166529163229,0.5858352869999244,0.9805696202531645,0.7334658902618,score threshold,0.061,raw cri probability,y_cri_high
26446,0.661166529163229,0.5858352869999244,0.9805696202531645,0.7334658902618,score threshold,0.062,raw cri probability,y_cri_high
26446,0.661166529163229,0.5858352869999244,0.9805696202531645,0.7334658902618,score threshold,0.063,raw cri probability,y_cri_high
26446,0.661166529163229,0.5858352869999244,0.9805696202531645,0.7334658902618,score threshold,0.064,raw cri probability,y_cri_high
26446,0.661166529163229,0.5858352869999244,0.9805696202531645,0.7334658902618,score threshold,0.065,raw cri probability,y_cri_high
26446,0.661166529163229,0.5858352869999244,0.9805696202531645,0.7334658902618,score threshold,0.066,raw cri probability,y_cri_high
26446,0.661166529163229,0.5858352869999244,0.9805696202531645,0.7334658902618,score threshold,0.067,raw cri probability,y_cri_high
26446,0.661166529163229,0.5858352869999244,0.9805696202531645,0.7334658902618,score threshold,0.068,raw cri probability,y_cri_high
26446,0.661166529163229,0.5858352869999244,0.9805696202531645,0.7334658902618,score threshold,0.069,raw cri probability,y_cri_high
26446,0.661166529163229,0.5858352869999244,0.9805696202531645,0.7334658902618,score threshold,0.07,raw cri probability,y_cri_high
26446,0.661166529163229,0.5858352869999244,0.9805696202531645,0.7334658902618,score threshold,0.07100000000000001,raw cri probability,y_cri_high
26446,0.661166529163229,0.5858352869999244,0.9805696202531645,0.7334658902618,score threshold,0.07200000000000001,raw cri probability,y_cri_high
26446,0.661166529163229,0.5858352869999244,0.9805696202531645,0.7334658902618,score threshold,0.07300000000000001,raw cri probability,y_cri_high
26446,0.661166529163229,0.5858352869999244,0.9805696202531645,0.7334658902618,score threshold,0.074,raw cri probability,y_cri_high
26446,0.661166529163229,0.5858352869999244,0.9805696202531645,0.7334658902618,score threshold,0.075,raw cri probability,y_cri_high
26446,0.661166529163229,0.5858352869999244,0.9805696202531645,0.7334658902618,score threshold,0.076,raw cri probability,y_cri_high
25663,0.6415910397759944,0.6010598916728364,0.9762658227848101,0.7440368521332272,score threshold,0.077,raw cri probability,y_cri_high
25663,0.6415910397759944,0.6010598916728364,0.9762658227848101,0.7440368521332272,score threshold,0.078,raw cri probability,y_cri_high
25663,0.6415910397759944,0.6010598916728364,0.9762658227848101,0.7440368521332272,score threshold,0.079,raw cri probability,y_cri_high
25662,0.6415660391509788,0.6010443457251968,0.9762025316455696,0.7440065602238194,score threshold,0.08,raw cri probability,y_cri_high
25662,0.6415660391509788,0.6010443457251968,0.9762025316455696,0.7440065602238194,score threshold,0.081,raw cri probability,y_cri_high
25661,0.6415410385259631,0.6010677682085656,0.9762025316455696,0.7440245049564651,score threshold,0.082,raw cri probability,y_cri_high
25660,0.6415160379009476,0.6010911925175371,0.9762025316455696,0.7440424505547516,score threshold,0.083,raw cri probability,y_cri_high
25660,0.6415160379009476,0.6010911925175371,0.9762025316455696,0.7440424505547516,score threshold,0.084,raw cri probability,y_cri_high
25660,0.6415160379009476,0.6010911925175371,0.9762025316455696,0.7440424505547516,score threshold,0.085,raw cri probability,y_cri_high
25660,0.6415160379009476,0.6010911925175371,0.9762025316455696,0.7440424505547516,score threshold,0.08600000000000001,raw cri probability,y_cri_high
25660,0.6415160379009476,0.6010911925175371,0.9762025316455696,0.7440424505547516,score threshold,0.08700000000000001,raw cri probability,y_cri_high
25660,0.6415160379009476,0.6010911925175371,0.9762025316455696,0.7440424505547516,score threshold,0.08800000000000001,raw cri probability,y_cri_high
25659,0.6414910372759319,0.6011146186523247,0.9762025316455696,0.7440603970187414,score threshold,0.089,raw cri probability,y_cri_high
25659,0.6414910372759319,0.6011146186523247,0.9762025316455696,0.7440603970187414,score threshold,0.09,raw cri probability,y_cri_high
25659,0.6414910372759319,0.6011146186523247,0.9762025316455696,0.7440603970187414,score threshold,0.091,raw cri probability,y_cri_high
25659,0.6414910372759319,0.6011146186523247,0.9762025316455696,0.7440603970187414,score threshold,0.092,raw cri probability,y_cri_high
25659,0.6414910372759319,0.6011146186523247,0.9762025316455696,0.7440603970187414,score threshold,0.093,raw cri probability,y_cri_high
25611,0.6402910072751818,0.6021631330287767,0.9760759493670886,0.7448262538938929,score threshold,0.094,raw cri probability,y_cri_high
25611,0.6402910072751818,0.6021631330287767,0.9760759493670886,0.7448262538938929,score threshold,0.095,raw cri probability,y_cri_high
25611,0.6402910072751818,0.6021631330287767,0.9760759493670886,0.7448262538938929,score threshold,0.096,raw cri probability,y_cri_high
25611,0.6402910072751818,0.6021631330287767,0.9760759493670886,0.7448262538938929,score threshold,0.097,raw cri probability,y_cri_high
25611,0.6402910072751818,0.6021631330287767,0.9760759493670886,0.7448262538938929,score threshold,0.098,raw cri probability,y_cri_high
25611,0.6402910072751818,0.6021631330287767,0.9760759493670886,0.7448262538938929,score threshold,0.099,raw cri probability,y_cri_high
25610,0.6402660066501663,0.6021475985942991,0.9760126582278481,0.744795943008935,score threshold,0.1,raw cri probability,y_cri_high
25610,0.6402660066501663,0.6021475985942991,0.9760126582278481,0.744795943008935,score threshold,0.101,raw cri probability,y_cri_high
25324,0.6331158278956974,0.6081187806033802,0.9746835443037974,0.7489543818694679,score threshold,0.10200000000000001,raw cri probability,y_cri_high
25324,0.6331158278956974,0.6081187806033802,0.9746835443037974,0.7489543818694679,score threshold,0.10300000000000001,raw cri probability,y_cri_high
25324,0.6331158278956974,0.6081187806033802,0.9746835443037974,0.7489543818694679,score threshold,0.10400000000000001,raw cri probability,y_cri_high
25324,0.6331158278956974,0.6081187806033802,0.9746835443037974,0.7489543818694679,score threshold,0.10500000000000001,raw cri probability,y_cri_high
25324,0.6331158278956974,0.6081187806033802,0.9746835443037974,0.7489543818694679,score threshold,0.106,raw cri probability,y_cri_high
25324,0.6331158278956974,0.6081187806033802,0.9746835443037974,0.7489543818694679,score threshold,0.107,raw cri probability,y_cri_high
25324,0.6331158278956974,0.6081187806033802,0.9746835443037974,0.7489543818694679,score threshold,0.108,raw cri probability,y_cri_high
25324,0.6331158278956974,0.6081187806033802,0.9746835443037974,0.7489543818694679,score threshold,0.109,raw cri probability,y_cri_high
25324,0.6331158278956974,0.6081187806033802,0.9746835443037974,0.7489543818694679,score threshold,0.11,raw cri probability,y_cri_high
25324,0.6331158278956974,0.6081187806033802,0.9746835443037974,0.7489543818694679,score threshold,0.111,raw cri probability,y_cri_high
25324,0.6331158278956974,0.6081187806033802,0.9746835443037974,0.7489543818694679,score threshold,0.112,raw cri probability,y_cri_high
25324,0.6331158278956974,0.6081187806033802,0.9746835443037974,0.7489543818694679,score threshold,0.113,raw cri probability,y_cri_high
25324,0.6331158278956974,0.6081187806033802,0.9746835443037974,0.7489543818694679,score threshold,0.114,raw cri probability,y_cri_high
25286,0.6321658041451036,0.6089140235703552,0.974493670886076,0.7495010465852115,score threshold,0.115,raw cri probability,y_cri_high
