selected_count,selected_rate,precision,recall,f1,operating_point,threshold_value,strategy,target
22800,0.5700142503562589,0.6608333333333334,0.9536075949367089,0.7806735751295337,top k rate,0.5700000000000001,raw cri probability,y_cri_high
23200,0.580014500362509,0.6521120689655172,0.9575316455696202,0.7758461538461539,top k rate,0.5800000000000001,raw cri probability,y_cri_high
23600,0.5900147503687592,0.6440677966101694,0.9620253164556962,0.7715736040609137,top k rate,0.59,raw cri probability,y_cri_high
24000,0.6000150003750093,0.6349166666666667,0.9644303797468354,0.7657286432160804,top k rate,0.6,raw cri probability,y_cri_high
24400,0.6100152503812595,0.6260245901639344,0.9667721518987342,0.7599502487562189,top k rate,0.61,raw cri probability,y_cri_high
24800,0.6200155003875096,0.6178225806451613,0.969746835443038,0.7547783251231527,top k rate,0.62,raw cri probability,y_cri_high
25200,0.6300157503937599,0.6104761904761905,0.9736708860759493,0.7504390243902439,top k rate,0.63,raw cri probability,y_cri_high
25600,0.64001600040001,0.60234375,0.9759493670886076,0.744927536231884,top k rate,0.64,raw cri probability,y_cri_high
26000,0.6500162504062602,0.5945384615384616,0.9783544303797468,0.7396172248803827,top k rate,0.65,raw cri probability,y_cri_high
26400,0.6600165004125104,0.586590909090909,0.980126582278481,0.7339336492890995,top k rate,0.66,raw cri probability,y_cri_high
26800,0.6700167504187605,0.5788432835820896,0.9818354430379747,0.7283098591549296,top k rate,0.67,raw cri probability,y_cri_high
27200,0.6800170004250107,0.5711764705882353,0.9832911392405064,0.7226046511627907,top k rate,0.68,raw cri probability,y_cri_high
27600,0.6900172504312608,0.5635144927536232,0.9843670886075949,0.7167281105990784,top k rate,0.6900000000000001,raw cri probability,y_cri_high
28000,0.700017500437511,0.5563214285714285,0.9858860759493671,0.7112785388127854,top k rate,0.7000000000000001,raw cri probability,y_cri_high
28400,0.7100177504437611,0.5494014084507042,0.9875316455696203,0.7060180995475113,top k rate,0.7100000000000001,raw cri probability,y_cri_high
28800,0.7200180004500113,0.5422569444444445,0.9884177215189873,0.7003139013452915,top k rate,0.72,raw cri probability,y_cri_high
29200,0.7300182504562615,0.5352054794520548,0.9891139240506329,0.6945777777777777,top k rate,0.73,raw cri probability,y_cri_high
29600,0.7400185004625116,0.5286148648648649,0.9903164556962025,0.6892951541850221,top k rate,0.74,raw cri probability,y_cri_high
30000,0.7500187504687618,0.5221,0.9913291139240507,0.6839737991266376,top k rate,0.75,raw cri probability,y_cri_high
30400,0.7600190004750119,0.5155921052631579,0.9920253164556962,0.6785281385281385,top k rate,0.76,raw cri probability,y_cri_high
30800,0.7700192504812621,0.5093181818181818,0.9928481012658228,0.6732618025751073,top k rate,0.77,raw cri probability,y_cri_high
31200,0.7800195004875122,0.5030769230769231,0.9934177215189873,0.6679148936170213,top k rate,0.78,raw cri probability,y_cri_high
31600,0.7900197504937624,0.4968987341772152,0.9937974683544304,0.6625316455696203,top k rate,0.79,raw cri probability,y_cri_high
32000,0.8000200005000125,0.49121875,0.9948734177215189,0.6576987447698744,top k rate,0.8,raw cri probability,y_cri_high
39247,0.9811995299882497,0.4025785410349836,1.0,0.5740548985412466,score threshold,0.001,raw cri probability,y_cri_high
39246,0.9811745293632341,0.40258879885848237,1.0,0.5740653271809032,score threshold,0.002,raw cri probability,y_cri_high
38814,0.9703742593564839,0.40704385015715977,0.9999367088607595,0.5785695975390925,score threshold,0.003,raw cri probability,y_cri_high
38813,0.9703492587314683,0.4070543374642517,0.9999367088607595,0.5785801915294894,score threshold,0.004,raw cri probability,y_cri_high
38812,0.9703242581064526,0.40706482531175925,0.9999367088607595,0.5785907859078591,score threshold,0.005,raw cri probability,y_cri_high
38812,0.9703242581064526,0.40706482531175925,0.9999367088607595,0.5785907859078591,score threshold,0.006,raw cri probability,y_cri_high
35988,0.8997224930623265,0.4385350672446371,0.9988607594936709,0.6094848227388584,score threshold,0.007,raw cri probability,y_cri_high
35405,0.885147128678217,0.44564327072447396,0.9986075949367088,0.6162679425837321,score threshold,0.008,raw cri probability,y_cri_high
35404,0.8851221280532013,0.4456558580951305,0.9986075949367088,0.6162799781267089,score threshold,0.009000000000000001,raw cri probability,y_cri_high
35404,0.8851221280532013,0.4456558580951305,0.9986075949367088,0.6162799781267089,score threshold,0.010000000000000002,raw cri probability,y_cri_high
